labels,text,lang,sentiment
ham,Tu m'as demandé de ne pas appeler la radio.,french,Neutral
spam,"JEUX GRATUITS. Obtenez Rayman Golf 4 GRATUITEMENT à partir de l'arcade de jeux O2. 1er obtenir les paramètres de jeux UR. Répondre POST, puis enregistrer & activ8. Appuyez sur 0 clé pour Arcade.",french,Neutral
spam,Vous avez gagné un prix garanti £200 ou même £1000 pour réclamer UR prix appel gratuit sur 08000407165 (18+) 2 stop getstop sur 88222 PHP,french,Negative
ham,Tout ce qui est lor sauf Toa Payoh a sa place 2 walk meh...,french,Negative
ham,Essayez de faire quelque chose de cher.,french,Neutral
ham,"Je t'apporte une bouteille de vin pour nous amuser, je plaisante, je t'apporte encore une bouteille, rouge ou blanc, à demain.",french,Positive
ham,Mais la télé a décidé qu'elle ne me laisserait pas le regarder et que Mia et elliot s'embrassaient!,french,Negative
ham,"Si je suppose, autant prendre 1 voiture",french,Neutral
ham,Fffff. Pouvez-vous envoyer un texto à Kadeem ou êtes-vous allé trop loin,french,Neutral
ham,Hmmm...k... mais je veux changer le champ rapidement da:-)je veux obtenir administrateur système ou administrateur réseau..,french,Positive
ham,Ce que tu as fait est parti.,french,Neutral
ham,Ok je vais aller à l'usf dans 15 minutes,french,Positive
ham,"Je vais me baigner d'abord, mais ma soeur utilise le filet pour dire quand elle finit...",french,Negative
ham,Je n'ai toujours pas vérifié.,french,Neutral
ham,Où est-il? Y a-t-il une ouverture pour Mca.,french,Neutral
spam,Dernière chance 2 demander une valeur de £150 de bons de réduction-Texte OUI à 85023 maintenant!SavaMob-member offre mobile T Cs 08717898035. £3.00 Sub. 16. Supprimer txt X ou STOP,french,Negative
ham,"Lol oui, mais ça ajoutera de l'épice à votre journée.",french,Positive
ham,Dis-moi quand tu seras avec nous.,french,Neutral
ham,Je suis encore assez faible aujourd'hui.. Mauvaise journée?,french,Neutral
ham,"Désolé, je t'appelle plus tard.",french,Negative
ham,Je viens de voir Ron Burgundy capitaine d'un bateau de fête alors oui,french,Neutral
ham,"S'il vous plaît, appelez-moi toute erreur de mon côté, désolé, docteur Pls da goto.",french,Positive
ham,Je serai dans le sch fr 4-6... je dun haf da livre dans le sch... c'est à la maison...,french,Neutral
ham,"L'amitié n'est pas un jeu à jouer, Ce n'est pas un mot à dire, Il ne commence pas le Mars et se termine le Mai, C'est demain, hier, aujourd'hui et e",french,Negative
ham,Mon ordinateur vient de friter la seule partie essentielle dont nous ne gardons pas les pièces de rechange parce que mes putains de colocataires looovvve laissant la chose tourner sur plein &lt;#&gt; /7,french,Neutral
ham,"L'imprimeur est cool, je veux dire groovy, le vin groovy.",french,Negative
ham,"Demain, je ne vais pas au théâtre... Pour que je puisse venir où que tu m'appelles... Dites-moi où et quand venir demain.",french,Neutral
ham,Ne prenez pas votre temps.,french,Neutral
ham,Omg vous pouvez faire une chapelle de mariage à Borderville? Pourquoi ont-ils toutes les bonnes choses?,french,Neutral
ham,Ma maison ici e ciel assez sombre liao... Si la pluie alors obtenu excuse pas 2 courir déjà rite... Hee...,french,Positive
ham,Miss appel miss appel khelate kintu adversaire miss appel dhortelage. Thats d règle. Un avec grand téléphone réception de qualité gagne.,french,Positive
ham,"C'était un message transmis, je croyais que vous m'envoyiez ça.",french,Neutral
ham,"Haha génial, omw à l'époque",french,Positive
ham,Était jeu 9 portes jeu et course de gt sur téléphone lol,french,Positive
ham,Mais vraiment drôle lor wat... puis u shd haf courir plus courte distance wat...,french,Neutral
ham,"Très bien, oui, s'il vous plaît!",french,Neutral
ham,C'est quelque chose que les gars ont que je ne sais pas?,french,Neutral
ham,Je ne peux pas choisir le téléphone tout de suite.,french,Negative
ham,"Eh bien, je pourrais ne pas venir alors...",french,Neutral
spam,Un prix de 400 £ XMAS vous attend! Notre ordinateur vous a choisi au hasard parmi nos fidèles clients mobiles pour recevoir une récompense de 400 £. Il suffit d'appeler 09066380611,french,Neutral
ham,Tu me manques... que s'est-il passé?,french,Neutral
spam,Caméra - Vous êtes récompensé d'un appareil photo numérique SiPix! appeler 09061221066 dem fixe. Livraison sous 28 jours.,french,Neutral
ham,Mais j'ai l'espace de 4 mb...,french,Neutral
ham,"Impressionnant, projetez d'arriver ici à tout moment après comme &lt;#&gt;, je vais vous envoyer les détails dans un petit peu",french,Negative
ham,Pouvez-vous me dire les détails de fri quand vous le savez parce que je ne suis pas dans Tom ou fri. chinois mentionné. Merci,french,Negative
ham,Vous êtes à la bibliothèque?,french,Neutral
ham,Siva est à l'auberge aha:-.,french,Neutral
ham,Quand vous et Derek avez fini la classe?,french,Neutral
ham,"Chère, nous allons chez nous.",french,Neutral
ham,IM GONNAMISSUSSU tellement!!Je dirais Il Envoyer U UN POSTCARD BUTTHÈRES À PROPOS DE MUSCH CHANCE DE MEREMEMBERIN ASTERE N'EST PAS FREAKIN SA CONTRAT!! LUV Yaxx,french,Positive
ham,"Oui, en fait, il a juste demandé si on avait besoin d'un truc comme il y a une heure.",french,Neutral
ham,"Oui, donc je partirai peut-être 7h?",french,Neutral
spam,Entrée GRATUITE dans notre comp hebdomadaire £250 il suffit d'envoyer le mot ENTER à 84128 MAINTENANT. 18 T&C www.textcomp.com cust care 08712405020.,french,Positive
ham,Mais vous êtes en contact avec moi.,french,Neutral
ham,Je suis aussi trop rapide... Xy suggère qu'on ne soit pas moi. U dun wan c'est ok.,french,Neutral
spam,Je n'ai commencé qu'après avoir envoyé un texto pour parler de radio sportive la semaine dernière. Vous pensez qu'il y a une connexion ou une coïncidence?,french,Neutral
ham,"Si tard, mais j'ai besoin d'aller chercher l'ordinateur portable...",french,Negative
ham,"Désolé, j'appellerai plus tard à la réunion.",french,Negative
ham,J'ai une marque de morsure assez proéminente sur ma joue droite.,french,Neutral
ham,"Je ne sais pas si la méga boutique d'Asda compte pour la fête, mais c'est ce que je fais!",french,Neutral
ham,Salut. Qu'est-ce que tu penses de l'allumette?,french,Neutral
ham,"Amazing : Si vous réarrangez ces lettres, ça donne le même sens... Dortoir = Chambre sale Astronome = Etoile de Lune Les yeux = Ils voient Résultats des élections = Lies laissons raconter Mother-in-law = Femme Hitler Onze plus deux =Douze plus un Son Amazing...!:-)",french,Positive
ham,"Oui, je devrais pouvoir, je t'enverrai un texto quand je serai prêt à me rencontrer.",french,Neutral
spam,Pas entendu de U4 un moment. Appelez 4 rude chat ligne privée 01223585334 à cum. Wan 2C photos de moi gettin bâché puis texte PIX à 8552. 2Fin envoyer STOP 8552 SAM xxx,french,Negative
ham,"Alors, quand veux-tu faire de la gym?",french,Neutral
ham,"Je viens d'arriver, on se voit dans quelques jours &lt;3",french,Neutral
ham,Le message envoyé est askin pour &lt;#&gt; dollars. Shoul i paye &lt;#&gt; ou &lt;#&gt;?,french,Neutral
ham,U aurait dû prendre rendez-vous,french,Neutral
ham,Oui..il est vraiment super..bhaji a dit kallis meilleur cricketer après sachin dans le monde:).très difficile de sortir.,french,Neutral
ham,Etes-vous l'un d'eux?,french,Neutral
ham,"Souvenez-vous de tous ceux que j'ai blessés pendant les jours de l'imposter satanique en moi.besoin de payer un prix, alors qu'il.peut-être le destin me garder et comme vous l'avez dit priez que j'ai l'esprit de dépasser la même chose.",french,Neutral
ham,Je pensais que la diapositive était suffisante.,french,Neutral
spam,"Prix national de 1,5p/min pas cher à 7,8p/min pic! Pour arrêter les textos appelez 08712460324 (10p/min)",french,Neutral
ham,J'espère que ce mois-ci.,french,Neutral
ham,Et aussi je l'ai en quelque sorte soufflé quelques fois récemment alors id plutôt pas lui envoyer un texto hors du bleu à la recherche de l'herbe,french,Neutral
ham,"Ce que j'ai dit avant de le dire, c'est stupide d'entendre après que je ne t'aie rien dit, ton père a appelé mon frère et m'a parlé, pas avec moi.",french,Negative
spam,"URGENT! Votre mobile No 077xxx WON un £2,000 Bonus Caller Prize le 02/06/03! C'est la 2ème tentative pour vous joindre! Appelez 0906636206 au plus vite! BOX97N7QP, 150ppm",french,Positive
ham,"Ola vous rappellerait peut-être pas aujourd'hui mais je lui ai dit que vous pouvez être son lien direct aux États-Unis pour obtenir des voitures qu'il offre en ligne, vous organisez l'expédition et vous obtenez une coupe. Ou U?????? Pour un partenariat où U?????? Investir de l'argent pour l'expédition et il prend soin du reste!U???Wud b auto-reliant bientôt dnt s'inquiéter",french,Neutral
ham,Je ne serai pas en cours dans quelques heures.,french,Neutral
ham,Pas de problème.,french,Neutral
ham,ARRITE,french,Neutral
ham,Il y a beaucoup de modèles..sony ericson aussi der.. &lt;#&gt;..it luks bon bt j'ai oublié modl no,french,Negative
ham,"Ouais probablement, je dois toujours aller voir avec Leo",french,Neutral
ham,Comment se fait-il qu'elle puisse l'obtenir?,french,Neutral
ham,Sian... le superviseur de la réunion arrière a eu du travail 2 do liao... U travaille maintenant?,french,Neutral
ham,Où êtes-vous inébranlable?,french,Neutral
spam,Vous êtes un gagnant U ont été spécialement sélectionnés 2 recevoir £1000 cash ou un 4* vacances (vols inc) parler à un opérateur en direct 2 réclamation 0871277810810,french,Neutral
ham,Comment. C'est un peu difficile mais c'est une façon simple d'entrer dans cet endroit,french,Neutral
ham,Vous êtes disponible maintenant? Je suis comme autour de Hillsborough &amp; &lt;#&gt; th,french,Neutral
ham,"Bonjour, ma chère... Passez une grande journée réussie avec &amp;.",french,Neutral
ham,Bière?,french,Neutral
ham,"J'y arriverai à 3 h, sauf si vous voulez que je vienne plus tôt.",french,Neutral
ham,Bonne nuit da quegam je manque vraiment u cher.,french,Neutral
ham,"Nous passons nos jours à attendre le chemin idéal pour apparaître devant nous.. Mais ce que nous oublions c'est.. ""les chemins sont faits en marchant.. pas en attendant.."" Bonne nuit!",french,Neutral
spam,Texte BANNEDUK à 89555 pour voir! coût 150p textoperator g696ga 18+ XXX,french,Neutral
ham,"&lt;#&gt;, c'est tout? Devine que c'est assez facile",french,Negative
ham,"Bonjour les petits pains sexy! Comment va la recherche d'emploi? Je me réveille et vous êtes ma première pensée comme toujours, mon amour. Je souhaite votre bien et heureux et savoir que je vous adore!",french,Positive
ham,Où est cette formation d'une journée :-),french,Positive
ham,Pourquoi demandez-vous à la princesse?,french,Neutral
ham,Change encore... c'est à côté de l'escalator...,french,Neutral
ham,"J'ai envoyé mes scores à Sophas et j'ai dû faire une application secondaire pour quelques écoles. Je pense que si vous pensez à postuler, faites une recherche sur le coût aussi.",french,Neutral
ham,La ferme était ouverte?,french,Neutral
ham,"Alors, vous me demandez de récupérer ces chaussons ou d'y aller l'an dernier.",french,Neutral
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Vacances d'une valeur de £350! Composez le 08712300220 à réclamer - National Tarif Call. Bx526, SW73SS",french,Positive
spam,Félicitations ur récompensé 500 de bons CD ou 125 cadeaux garantis & Entrée gratuite 2 100 wkly tirage txt MUSIC à 87066,french,Neutral
ham,J'adore travailler à la maison :),french,Positive
ham,"Je t'aime aussi!! Tu sais? Merde, c'était si bon d'entendre ta voix. J'en ai tellement besoin. J'en ai envie. Je n'en ai pas assez. Je t'adore, Ahmad *kiss*",french,Positive
ham,Mon anniversaire est sur feb &lt;#&gt; da..,french,Neutral
ham,"Eh bien, il y a un schéma qui émerge de mes amis me disant de conduire et de venir fumer avec eux et ensuite me dire que je suis un fou de l'herbe / les faire fumer trop / empêcher leur faire d'autres choses pour que vous voyez comment je suis hésitant",french,Negative
ham,"Peut-être que si vous le faisiez avant d'avoir 3 ce problème, ce ne serait pas un problème.",french,Neutral
ham,Qu'est-ce que je devrais manger au senor du déjeuner,french,Neutral
ham,"Aujourd'hui, je ne travaille pas, mais je ne travaille pas dans la boutique d'ur fren.",french,Neutral
spam,Cher 0776xxxxxx U've ont été invités à XCHAT. C'est notre dernière tentative de contacter u! Txt CHAT à 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18ans,french,Neutral
ham,Dois-je demander une chose si vous ne m'erreurz pas.,french,Neutral
ham,"Oh... j'étais en train de faire du yoga à 10 den no nd aller à 3 den peut se précipiter au parc 4 nb... Okie lor, tu m'appelles quand tu es prêt...",french,Negative
ham,"Somewhr quelqu'un est sûrement fait 4 u. Et Dieu a décidé un moment parfait pour faire u rencontre dat personne.... jusqu'à la tanière,...... Profitez ur écrases..!!!;-)",french,Neutral
ham,"Okie, mais j'ai eu peur de dire que je suis gros...",french,Negative
ham,Je ne l'ai pas msg récemment.,french,Neutral
ham,"Désolé, je t'appelle plus tard.",french,Negative
ham,Attendez. Je vais msg après &lt;#&gt; min.,french,Neutral
ham,Excuse-moi juste de vérifier que ça ne te dérange pas de venir me chercher à la télé.,french,Neutral
spam,"Double Mins & 1000 txts sur les tarifs orange. Derniers Motorola, SonyEricsson & Nokia avec Bluetooth GRATUIT! Appelez MobileUpd8 au 08000839402 ou call2optout/HF8",french,Neutral
ham,"Non, nous vendons tout ainsi nous aurons des tonnes si des pièces de monnaie. Ensuite, nous vendons nos pièces à quelqu'un à travers paypal. Voila! argent de retour dans les poches de vie:)",french,Negative
ham,Ou juste faire ça 6 fois,french,Neutral
ham,Bonjour mon petit jouet. Comment se passe cette promenade ici et là jour? Avez-vous obtenu ce résumé de la police? Êtes-vous toujours dehors et environ? Je me réveille et vous manquez bébé,french,Neutral
ham,La triste histoire d'un homme - La semaine dernière était mon b'day. Ma femme ne m'a pas souhaité. Mes parents ont oublié n ainsi que mes enfants. Je suis allé au travail. Même mes collègues n'ont pas souhaité.,french,Neutral
ham,Manger dans mon déjeuner...,french,Neutral
ham,On va faire une évaluation sur fri?,french,Neutral
spam,"FreeMSG Vous avez reçu un mini DIGITAL CAMERA GRATUIT, il suffit de répondre SNAP pour récupérer votre prix! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",french,Negative
ham,"Je n'aurai pas son numéro, monsieur.",french,Neutral
ham,"Si j'étais là, je ne ferais pas attention.",french,Neutral
ham,"Enfin c'est arrivé..! Aftr décennies..! BEER est maintenant moins cher que PETROL! Le gouvernement s'attend à ce que nous ""DRINK""... Mais ne ""DRIVE""",french,Neutral
ham,Jus ans me lar. U'll noe plus tard.,french,Negative
ham,"HELLOGORGEE, HOWS U? Mon père était sur le charge le plus NITW WEN U TEXD ME. HOPEU a fait un NICE WKEND comme si j'étais sûr que U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",french,Positive
ham,Paquetez bien tous vos programmes,french,Neutral
spam,#ERREUR!,french,Neutral
ham,"Thanx. Oui nous revenons sur le soleil. Terminer le dîner retour 2 hôtel maintenant. Le temps vole, nous sommes à 4 exactement un mth aujourd'hui. Espérons que nous aurons beaucoup plus de mths à venir...",french,Neutral
ham,Je peux appeler &lt;#&gt; min si c'est bon,french,Neutral
ham,J'espère que c'est le résultat d'être toujours intelligent et gentil. Commencez à lui poser des questions sur les liens du stage et gardez vos oreilles ouvertes et tout le meilleur. ttyl,french,Positive
ham,"Je serai probablement là pour un moment, à plus tard ce soir &lt;)",french,Negative
ham,"Mon voyage était bien, mais très fatigant. Uni commence aujourd'hui, mais c'est bien 4 moi car je ne prends pas de modules mais je me concentre sur mon dernier projet d'année.",french,Neutral
ham,"Désolé, je te rappelle plus tard.",french,Negative
ham,"Je te promets de bien te soigner, je parie que tu prendras bien soin de moi...",french,Neutral
ham,Ouais... Ok je rentre à la maison regarder les timings puis i msg ü encore... Xuhui va apprendre le 2e mai aussi mais sa leçon est à 8h,french,Positive
ham,JADE SON PAUL. Vous m'avez dit qu'il fallait me rappeler de BARMED?,french,Neutral
ham,"Pareil ici, mais je considère les murs et les bunkers et la merde important juste parce que je ne joue jamais sur paisible mais je suppose que votre place est assez haut que ce n'est pas important",french,Positive
spam,Voulez-vous un nouveau Nokia 3510i couleur téléphone livré demain? Avec 200 minutes gratuit à n'importe quel mobile + 100 texte gratuit + caméscope gratuit Répondre ou appeler 8000930705,french,Neutral
ham,Rien ne me vient à l'esprit.,french,Neutral
spam,Entrée gratuite dans 2 un comp hebdomadaire pour une chance de gagner un ipod. Txt POD à 80182 pour obtenir l'entrée (std txt taux) T&C's appliquer 08452810073 pour les détails 18+,french,Positive
ham,Haha... j'espère que le reçu sonnera...,french,Positive
ham,"Utilisons-le la semaine prochaine, princesse :)",french,Positive
ham,J'ai envoyé les détails d'Eckankar à la boîte aux lettres.,french,Neutral
ham,"Désolé, je ne peux pas t'aider.",french,Neutral
ham,"La dernière chose que j'ai toujours voulu faire était de te faire du mal, et je ne pensais pas que ça l'aurait fait. Tu rirais, tu serais harcelé, tu supprimerais l'étiquette et continuerais. Mais pour autant que je sache, ce n'était même pas le cas. Le fait que tu aies même senti que je le ferais pour te faire du mal montre vraiment que tu ne me connais pas du tout. C'était malsain mercredi, mais ce n'était pas mal. Le problème que j'ai avec elle, c'est que tu aies le temps de le nettoyer, mais tu choisis de ne pas le faire. Tu skype, tu prends des photos, tu dors, tu veux sortir. Je ne me dérange pas de quelques choses ici et là, mais quand tu ne fais pas le lit, quand tu jettes la lessive dessus, quand je ne peux pas avoir un ami dans la maison parce que je suis embarrassé qu'il y a des sous-vêtements et des soutiens-gorges parsemés sur le lit, des oreillers sur le sol, c'est quelque chose d'autre. Tu étais bon à propos de faire le lit.",french,Negative
ham,Belle Vérité contre la Gravité.. Lisez attentivement : « Notre cœur sent la lumière quand quelqu'un est dedans.. Mais il se sent très lourd quand quelqu'un la quitte.. » BONNE NUIT,french,Neutral
ham,Je suis dans le bus.,french,Neutral
ham,C'est bien que mon bras se sente faible parce que j'ai une chance pour qu'on parte une autre fois.,french,Positive
ham,"Désolé, je vous rappelle plus tard, j'ai rendez-vous avec monsieur.",french,Negative
ham,Comment c'était hier soir? J'ai été coquine et je me suis acheté des vêtements et très peu... Prêt pour plus de shopping tho! Quel genre de temps voulez-vous rencontrer?,french,Neutral
spam,UR a décerné une City Break et pourrait WIN une £200 Summer Shopping spree chaque WK. Txt STORE à 88039. SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,french,Positive
ham,Je suis malade!! Je suis dans le besoin!! Je te veux!! *pouts* *pouts pieds* Où es-tu?! *pouts* *pouts pieds* Je veux mon esclave!! Je le veux maintenant!!,french,Neutral
spam,"Cher titulaire du bon, Pour réclamer cette offre de semaines, veuillez consulter le site Web de votre PC à l'adresse suivante : http://www.e-tlp.co.uk/expressoffer Ts&Cs. Pour arrêter les textes, cliquez sur STOP à 80062.",french,Negative
ham,Salut....Mon engagement a été corrigé sur &lt;#&gt; le mois prochain. Je sais qu'il est vraiment choquant bt....hmm njan vilikkam....t ws al d'un sudn;-(.,french,Positive
ham,Pouvez-vous utiliser des timbres étrangers pour tout ce que vous les envoyez?,french,Negative
ham,N'importe quoi de lor s'ils vont tous alors je vais lor...,french,Neutral
ham,"Dis-moi ce qui arrive, ne te comporte pas comme ça.",french,Neutral
ham,"Eh bien, ça doit être une douleur à attraper",french,Neutral
ham,Maintenant seulement je suis arrivé à la maison... Je suis très fatigué maintenant.. Je vais venir tomorro,french,Neutral
ham,"Bébé, je suis de retour... reviens à moi...",french,Neutral
ham,Toujours sur la côte ouest... Haiz... Ü va prendre une éternité pour revenir...,french,Neutral
ham,"Je suis à la maison, mais pas habillé parce que je suis malade!",french,Neutral
ham,Baaaaabe! Je manque de youuuuu! Où es-tu? Je dois aller enseigner mon cours à 5...,french,Neutral
spam,Décembre seulement! Avait votre mobile 11mths+? Vous avez le droit de mettre à jour la dernière caméra couleur mobile gratuitement! Appelez la Mobile Update VCo GRATUIT au 08002986906,french,Neutral
ham,C'est comme ça qu'elle va étudier ou juste visiter.,french,Neutral
ham,Dites-leur que le dealer s'impatiente.,french,Neutral
ham,HEY DAS COOL... IKNOW TOUS LES 2 WELLDA PERIL DE CRISE FINANCIÈRE DE L'ÉTUDE!SPK 2 U L8R.,french,Negative
ham,"Honeybee a dit: *Je suis d Sweetest in d World* God Laughed &amp; dit: *Wait,U Havnt Met d Person Lire cette Meg* MORAL: Même DIEU peut cracker des jokes! GM+GN+GE+GN:)",french,Positive
ham,Fais ce qui est plus facile pour toi.,french,Neutral
ham,Je suis en route pour rentrer chez moi. Je suis allé changer ma 4e montre et aller acheter un peu de lor.,french,Neutral
ham,"Haha, mon ami Tyler vient littéralement de demander si tu pouvais lui trouver un dubsack",french,Positive
ham,"J'ai pensé lui donner une montre, juste parce que c'est le genre de chose que j'ai eu4an18 et il aime tellement!",french,Neutral
spam,"INFORMATIONS URGENTES ET IMPORTANTES POUR L'UTILISATEUR D'O2. AUJOURD'HUI, C'EST VOTRE JOUR LUTTE! 2 RENDEZ-VOUS POURQUOI CONNEXION À HTTP://WWW.URAWINNER.COM Y A-T-IL UNE SURPRISE FANTASTIQUE?",french,Positive
ham,Mes oncles à Atlanta vous souhaitent un bon semestre.,french,Neutral
ham,"Wow... Je t'aime tellement, tu sais? Je peux à peine le supporter! Je me demande comment va ta journée et si tu vas bien, mon amour... Je pense à toi et tu me manques",french,Positive
ham,J'aime regarder et jouer au football et au basket.,french,Neutral
ham,Je savais que ça arriverait il y a longtemps.,french,Neutral
ham,"Pete, s'il te plaît, fais venir Meive à peine.",french,Neutral
spam,Entrée GRATUITE dans notre comp hebdomadaire £250 juste envoyer le mot WIN à 80086 MAINTENANT. 18 T&C www.txttowin.co.uk,french,Positive
ham,TAKE CARE n gET WELL sOOn,french,Positive
ham,"A tout moment, lor...",french,Negative
ham,"Vous étiez loin du système, de votre côté.",french,Neutral
ham,J'ai accidentellement effacé le message.,french,Neutral
ham,Veux-tu venir en ligne aujourd'hui soir,french,Neutral
ham,"C'est nul, je vais y aller pour que tu puisses faire mes cheveux, tu le feras libre, n'est-ce pas?",french,Neutral
ham,Ok mal dire à l'entreprise,french,Negative
ham,Raji..pls me font une faveur. Pls transmettre mes vœux d'anniversaire à Nimya. Pls. Aujourd'hui est son anniversaire.,french,Positive
ham,Je lui ai dit que c'était déjà vrai.,french,Neutral
ham,"Cool, je t'enverrai un texto quand je serai en route.",french,Positive
ham,Salut sa Kate comment va votre soirée? J'espère que je peux vous voir demain un peu mais je dois ensanglanter babyjontet! Txt de retour si vous pouvez. :) xxx,french,Positive
ham,"Aww vous devez être presque mort!Eh bien, Jez vient à faire du travail et ça va prendre pour toujours!",french,Neutral
ham,Bonne fin de semaine.,french,Neutral
ham,Quel régime? Je triche tous les jours de toute façon. Je suis fait pour être un gras :(,french,Negative
ham,"Proverbe japonais: Si on peut le faire, U aussi Peut le faire, Si aucun ne peut le faire,U doit le faire version indienne: Si on peut le faire, LET HIM le faire.. Si aucun ne peut le faire, LEAVE it!! Et enfin version Kerala: Si on peut le faire, Arrêtez-le.. Si aucun ne peut le faire, Faites une grève contre elle...",french,Negative
ham,"Si je ne rencontre pas tous les rites, je rentrerai chez moi.",french,Neutral
ham,Jus fini avatar nigro,french,Neutral
ham,Bébé? Je t'ai perdu... :-(,french,Negative
ham,Il me faut de l'herbe au chocolat et de l'alcool.,french,Neutral
ham,"S'il vous plaît, laissez ce sujet..désolé d'avoir dit ça..",french,Neutral
ham,C'est un massage au taxon.,french,Neutral
ham,J'ai besoin d'acheter une voiture BMW d'urgence..ses vry urgent.mais hv une pénurie de &lt;#&gt; Lacs.il n'y a pas de source pour arng dist. &lt;#&gt; lacs..c'est mon problème,french,Neutral
ham,J'ai dit qu'elle croyait toujours.,french,Neutral
ham,Ok mal vous envoyer avec &lt;DECIMAL&gt; ok.,french,Positive
ham,Conformément à votre demande 'Maangalyam (Alaipayuthe)' a été défini comme votre callertune pour tous les appelants. Appuyez sur *9 pour copier vos amis Callertune,french,Neutral
ham,L'amour a une seule loi; Rend heureux la personne que tu aimes. De la même façon l'amitié a une seule loi; Ne fais jamais que ton ami se sente seul jusqu'à ce que tu sois en vie...,french,Neutral
ham,"J'ai juste regardé et Addie revient lundi, c'est nul d'être elle.",french,Neutral
ham,"Wen ur loveable bcums colère wid u, dnt prendre au sérieux.. Coz être en colère est d la plupart enfantine n vraie façon de montrer l'affection profonde, soins n luv!.. kettoda manda... Bonne journée da.",french,Neutral
spam,Décembre seulement! Avait votre mobile 11mths+? Vous avez le droit de mettre à jour la dernière caméra couleur mobile gratuitement! Appelez The Mobile Update Co GRATUIT au 08002986906,french,Neutral
ham,Belle Vérité contre la Gravité.. Lisez attentivement : « Notre cœur sent la lumière quand quelqu'un est dedans.. Mais il se sent très lourd quand quelqu'un la quitte.. »,french,Neutral
ham,J'espère juste que mes agents ne me lâchent pas car je n'ai réservé que quelques trucs cette année.,french,Neutral
ham,"Salut, mon amour! Comment ça se passe ce jour-là? Merde, ce matin je me suis réveillée et j'ai fait tomber ma cellule en descendant les escaliers mais ça semble bien... *phews* Tu me manques!",french,Neutral
ham,Aiyar u si pauvre chose... je donne mon soutien k... Jia you! Je penserai à u...,french,Neutral
ham,Mais acheter wat?,french,Neutral
ham,"Ça m'est arrivé en direct, peut-être en 3e quand il est sorti.",french,Neutral
ham,Je veux envoyer &lt;#&gt; mesages aujourd'hui. C'est y. Désolé si j'ai mal,french,Neutral
spam,"Bonjour chéri comment allez-vous aujourd'hui? J'aimerais avoir une conversation, pourquoi ne me dites-vous pas à quoi vous ressemblez et ce que vous êtes dans sexy?",french,Positive
